FileName,Type,Name,ReleaseDate,Eoas,Eol,Version,Date
redhat-satellite,versions,6.16.0.1,2024-11-19,,,,
redhat-satellite,versions,6.16.0,2024-11-05,,,,
redhat-satellite,versions,6.15.4.2,2024-10-31,,,,
redhat-satellite,versions,6.14.4.3,2024-10-31,,,,
redhat-satellite,versions,6.13.7.3,2024-10-31,,,,
redhat-satellite,versions,6.15.4.1,2024-10-15,,,,
redhat-satellite,versions,6.15.4,2024-10-10,,,,
redhat-satellite,versions,6.15.3.1,2024-09-04,,,,
redhat-satellite,versions,6.14.4.2,2024-09-04,,,,
redhat-satellite,versions,6.13.7.2,2024-09-04,,,,
redhat-satellite,versions,6.15.3,2024-08-20,,,,
redhat-satellite,versions,6.14.4.1,2024-08-07,,,,
redhat-satellite,versions,6.15.2,2024-07-17,,,,
redhat-satellite,versions,6.15.1.1,2024-06-20,,,,
redhat-satellite,versions,6.15.1,2024-06-11,,,,
redhat-satellite,versions,6.11.5.7,2024-05-06,,,,
redhat-satellite,versions,6.14.4,2024-04-29,,,,
redhat-satellite,versions,6.15.0,2024-04-23,,,,
redhat-satellite,versions,6.12.5.3,2024-04-22,,,,
redhat-satellite,versions,6.14.3,2024-03-27,,,,
redhat-satellite,versions,6.13.7,2024-02-29,,,,
redhat-satellite,versions,6.14.2,2024-02-13,,,,
redhat-satellite,versions,6.14.1,2023-12-14,,,,
redhat-satellite,versions,6.13.6,2023-11-21,,,,
redhat-satellite,versions,6.14.0,2023-11-08,,,,
redhat-satellite,versions,6.12.5.2,2023-10-20,,,,
redhat-satellite,versions,6.11.5.6,2023-10-20,,,,
redhat-satellite,versions,6.13.5,2023-10-19,,,,
redhat-satellite,versions,6.13.4.1,2023-09-28,,,,
redhat-satellite,versions,6.12.5.1,2023-09-27,,,,
redhat-satellite,versions,6.11.5.5,2023-09-27,,,,
redhat-satellite,versions,6.13.4,2023-09-12,,,,
redhat-satellite,versions,6.12.5,2023-08-28,,,,
redhat-satellite,versions,6.13.3,2023-08-03,,,,
redhat-satellite,versions,6.13.2,2023-07-12,,,,
redhat-satellite,versions,6.12.4.1,2023-06-15,,,,
redhat-satellite,versions,6.11.5.4,2023-06-15,,,,
redhat-satellite,versions,6.13.1,2023-05-31,,,,
redhat-satellite,versions,6.11.5.3,2023-05-10,,,,
redhat-satellite,versions,6.13.0,2023-05-03,,,,
redhat-satellite,versions,6.12.4,2023-04-27,,,,
redhat-satellite,versions,6.12.3,2023-04-04,,,,
redhat-satellite,versions,6.11.5.2,2023-03-27,,,,
redhat-satellite,versions,6.11.5.1,2023-03-20,,,,
redhat-satellite,versions,6.11.5,2023-03-07,,,,
redhat-satellite,versions,6.10.7.2,2023-03-01,,,,
redhat-satellite,versions,6.12.2,2023-02-08,,,,
redhat-satellite,versions,6.12.1,2023-01-18,,,,
redhat-satellite,versions,6.9.10,2022-11-17,,,,
redhat-satellite,versions,6.11.4.1,2022-11-17,,,,
redhat-satellite,versions,6.10.7.1,2022-11-17,,,,
redhat-satellite,versions,6.12.0,2022-11-16,,,,
redhat-satellite,versions,6.11.4,2022-10-27,,,,
redhat-satellite,versions,6.11.3,2022-09-28,,,,
redhat-satellite,versions,6.11.2,2022-08-30,,,,
redhat-satellite,versions,6.11.1.1,2022-08-02,,,,
redhat-satellite,versions,6.11.1,2022-07-27,,,,
redhat-satellite,versions,6.10.7,2022-07-06,,,,
redhat-satellite,versions,6.11.0,2022-07-05,,,,
redhat-satellite,versions,6.10.6,2022-05-31,,,,
redhat-satellite,versions,6.10.5.1,2022-05-11,,,,
redhat-satellite,versions,6.10.5,2022-05-04,,,,
redhat-satellite,versions,6.9.9,2022-04-20,,,,
redhat-satellite,versions,6.10.4.1,2022-03-30,,,,
redhat-satellite,versions,6.10.4,2022-03-29,,,,
redhat-satellite,versions,6.10.3,2022-03-08,,,,
redhat-satellite,versions,6.9.8,2022-01-27,,,,
redhat-satellite,versions,6.10.2,2022-01-19,,,,
redhat-satellite,versions,6.10.1,2021-11-18,,,,
redhat-satellite,versions,6.10.0,2021-11-16,,,,
redhat-satellite,versions,6.9.7,2021-11-10,,,,
redhat-satellite,versions,6.9.6,2021-09-21,,,,
redhat-satellite,versions,6.9.5,2021-08-31,,,,
redhat-satellite,versions,6.9.4,2021-07-29,,,,
redhat-satellite,versions,6.9.3,2021-07-01,,,,
redhat-satellite,versions,6.9.2,2021-05-20,,,,
redhat-satellite,versions,6.9.1,2021-04-26,,,,
redhat-satellite,versions,6.9.0,2021-04-21,,,,
redhat-satellite,versions,6.8.6,2021-04-13,,,,
redhat-satellite,versions,6.8.5,2021-03-31,,,,
redhat-satellite,versions,6.8.4,2021-02-24,,,,
redhat-satellite,versions,6.8.3,2021-01-28,,,,
redhat-satellite,versions,6.8.2,2020-12-15,,,,
redhat-satellite,versions,6.8.1,2020-11-23,,,,
redhat-satellite,versions,6.8.0,2020-10-27,,,,
redhat-satellite,versions,6.7.5,2020-10-26,,,,
redhat-satellite,versions,6.7.4,2020-09-30,,,,
redhat-satellite,versions,6.7.3,2020-09-02,,,,
